Value Chain,Technology,Core Occupation,Unique Requirements for Hydrogen
End Use,Fueling Station Operation,Automation & controls specialist, Safety when working with or around hydrogen.  Hydrogen properties behaviour and potential hazards created
End Use,Fueling Station Operation,Electrical &  instrumentation  engineer,Hydrogen properties behaviour  and potential hazards created. Knowledge of electrical  equipment and instrumentation  systems required for hydrogen  fueling systems. Safety when working with or  around hydrogen
End Use,Fueling Station Operation,Fueling station technician, Safety when working with or around hydrogen.  Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment.  Hydrogen properties behaviour and potential hazards created
End Use,Fueling Station Operation,Logistics coordinator, Safety when working with or around hydrogen.  Hydrogen properties behaviour and potential hazards created
End Use,Fueling Station Operation,Maintenance technician - Compression, Safety when working with or around hydrogen.  Appropriate selection and maintenance of pressure vessels compression systems and related instrumentation and controls equipment and systems associated with hydrogen fueling system.  Hydrogen properties behaviour and potential hazards created
End Use,Fueling Station Operation,Maintenance technician – Electrical & mechanical, Safety when working with or around hydrogen.  Knowledge of appropriate maintenance of hydrogen fueling systems include pressure vessels vaporizers flow level and pressure control instrumentation dispensers pumps PLC and compressors Human Machine Interface (HMI) and controls software.  Hydrogen properties behaviour and potential hazards created
End Use,Fueling Station Operation,Mechanical engineer - Compression, Safety when working with or around hydrogen.  Understanding of hydrogen compression processes.  Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fueling system.  Hydrogen properties behaviour and potential hazards created
End Use,Fueling Station Operation,Mechanical engineer - Equipment & piping,Hydrogen properties behaviour  and potential hazards created. Design and selection of  pressure vessels piping  systems and fitting valves and  seals coatings and insulation  to withstand hydrogen pressure  and temperatures associated  with hydrogen fueling system. Safety when working with or  around hydrogen
End Use,Fueling Station Operation,Mechanical engineer - Reliability, Safety when working with or around hydrogen.  Appropriate selection and maintenance of pressure vessels piping systems and fitting valves and seals coatings and insulation associated with hydrogen fueling system.  Hydrogen properties behaviour and potential hazards created
End Use,Fueling Station Operation,Process control engineer, Safety when working with or around hydrogen.  Understanding of cryogenic and gaseous hydrogen storage and delivery systems.  Hydrogen properties behaviour and potential hazards created
