value_chain,technology,core_occupation,unique_requirements_for_hydrogen
End Use,Fueling Station Operation,Automation & controls specialist, Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created
End Use,Fueling Station Operation,Electrical & instrumentation engineer,Hydrogen properties behavior and potential hazards created. Knowledge of electrical equipment and instrumentation systems required for hydrogen fueling systems. Safety when working with or around hydrogen
End Use,Fueling Station Operation,Fueling station technician, Safety when working with or around hydrogen. Troubleshooting and routine maintenance of hydrogen fuel compression and dispensing equipment. Hydrogen properties behavior and potential hazards created
End Use,Fueling Station Operation,Logistics coordinator, Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created
End Use,Fueling Station Operation,Maintenance technician - Compression, Safety when working with or around hydrogen. Appropriate selection and maintenance of pressure vessels compression systems and related instrumentation and controls equipment and systems associated with hydrogen fueling systems. Hydrogen properties behavior and potential hazards created
End Use,Fueling Station Operation,Maintenance technician – Electrical & mechanical, Safety when working with or around hydrogen. Knowledge of appropriate maintenance of hydrogen fueling systems include pressure vessels vaporizers flow level and pressure control instrumentation dispensers pumps PLC and compressors Human Machine Interface (HMI) and controls software. Hydrogen properties behavior and potential hazards created
End Use,Fueling Station Operation,Mechanical engineer - Compression, Safety when working with or around hydrogen. Understanding of hydrogen compression processes. Design and selection of compression systems for hydrogen pressure and temperatures associated with hydrogen fueling systems. Hydrogen properties behavior and potential hazards created
End Use,Fueling Station Operation,Mechanical engineer - Equipment & piping,Hydrogen properties behavior and potential hazards created. Design and selection of pressure vessels piping systems and fitting valves and seals coatings and insulation to withstand hydrogen pressure and temperatures associated with hydrogen fueling systems. Safety when working with or around hydrogen
End Use,Fueling Station Operation,Mechanical engineer - Reliability, Safety when working with or around hydrogen. Appropriate selection and maintenance of pressure vessels piping systems and fitting valves and seals coatings and insulation associated with hydrogen fueling systems. Hydrogen properties behavior and potential hazards created
End Use,Fueling Station Operation,Process control engineer, Safety when working with or around hydrogen. Understanding of cryogenic and gaseous hydrogen storage and delivery systems. Hydrogen properties behavior and potential hazards created
End Use,Fueling Station Operation,Process engineer, Safety when working with or around hydrogen. Understanding of cryogenic and gaseous hydrogen storage and delivery systems. Understanding of properties and characteristics of hydrogen in a liquid and gaseous state. Hydrogen properties behavior and potential hazards created
End Use,Fueling Station Operation,Process safety engineer, Knowledge of hydrogen related regulations standards and codes. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews mechanical integrity and instrumented system analysis and operation readiness inspection
End Use,Fueling Station Operation,Product engineer, Safety when working with or around hydrogen. Experience and knowledge of hydrogen fueling equipment technology and systems including on-site generation compression cooling systems storage and dispensing. Hydrogen properties behavior and potential hazards created. Knowledge of fueling standards for third-party certification of hydrogen product lines
End Use,Fueling Station Operation,Quality engineer, Safety when working with or around hydrogen. Experience and knowledge of hydrogen fueling equipment technology and systems including on-site generation compression cooling systems storage and dispensing. Hydrogen properties behavior and potential hazards created. Knowledge of codes and industry standard processes as relates to hydrogen fueling station equipment
End Use,Fueling Station Operation,Truck Driver – Hydrogen fuel delivery, Safety when working with or around hydrogen. Eco-driving techniques: a method of driving a vehicle with the goal of using less fuel and having less of an impact on the environment for fleet sustainability better fuel consumption and lower costs. As use of FCEV for delivering hydrogen fuel increases drivers will also need to have knowledge of fuel cell technology ability to inspect vehicles and conduct basic maintenance and hydrogen refueling. Hydrogen properties behavior and potential hazards created
End Use,Heat with Hydrogen,Asset performancemanager,Safety when working with oraround hydrogen. Understanding of technical factors associated with using hydrogen blending for heating. Hydrogen properties behavior and potential hazards created. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Knowledge of hydrogen related regulations standards and codes
End Use,Heat with Hydrogen,Gas fusion,Welding procedures and techniques appropriate for hydrogen. Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created. Knowledge of hydrogen related regulations standards and codes. Materials coatings and inhibitors to use and correct application to protect from hydrogen corrosion
End Use,Heat with Hydrogen,Gasfitter ,Knowledge of materials equipment and components to use to withstand hydrogen pressure and temperatures. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Procedures to trace locate and repair hydrogen leaks. Safety when working with or around hydrogen. Knowledge of hydrogen properties behavior and potential hazards created. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Welding procedures and techniques appropriate for hydrogen. Knowledge of hydrogen related regulations standards and codes
End Use,Heat with Hydrogen,HVAC technician,Knowledge of hydrogen related regulations standards and codes. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Welding procedures and techniques appropriate for hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Knowledge of materials equipment and components to use to withstand hydrogen pressure and temperatures. Procedures to trace locate and repair hydrogen leaks. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
End Use,Heat with Hydrogen,Hydrogen integration specialist,Appropriate selection of materials coating odorants inhibitors etc. for hydrogen blending. Hydrogen properties behavior and potential hazards created. Strong industry knowledge and experience with hydrogen technologies processes and equipment and components to use to withstand hydrogen pressure and temperatures. Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Appropriate selection design modification to ventilation leak detection flame detection corrosion prevention equipment and systems for hydrogen blending. Safety when working with or around hydrogen. Knowledge of hydrogen related regulations standards and codes
End Use,Heat with Hydrogen,Utility operator,Knowledge of hydrogen related regulations standards and codes. Procedures to trace locate and repair hydrogen leaks. Hydrogen properties behaviors and potential hazards created. Safety when working with or around hydrogen. Knowledge of odorants used to assist with leak detection of hydrogen
End Use,Heat with Hydrogen,Utility services planner,Hydrogen properties behaviors and potential hazards created. Knowledge of hydrogen related regulations standards and codes. Practices technologies equipment and systems to control hydrogen corrosion/embrittlement. Safety when working with or around hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Knowledge of odorants used to assist with leak detection of hydrogen. Materials coatings and inhibitors to use and correct application to protect from hydrogen corrosion
End Use,Heat with Hydrogen,Utility servicestechnician,Comprehensive understanding of aspects of installation and testing procedures that are different due to the nature of hydrogen. Hydrogen properties behaviors and potential hazards created. Procedures to trace locate and repair hydrogen leaks. Knowledge of hydrogen related regulations standards and codes. Safety when working with or around hydrogen. Keep up-to-date with changes to hydrogen technology regulations standards and codes. Knowledge of odorants used to assist with leak detection of hydrogen. Materials coatings and inhibitors to use and correct application to protect from hydrogen corrosion
End Use,Heat with Hydrogen,Welding engineer,Knowledge of hydrogen related regulations standards and codes. Safety when working with or around hydrogen. Hydrogen properties behavior and potential hazards created. Knowledge of material rules and welding processes and procedures compatible with hydrogen and hydrogen blending properties. Keep up-to-date with changes to hydrogen technology regulations standards and codes
End Use,Power Generation with Hydrogen,Automation & controls specialist,Knowledge of automated process systems and controls systems associated with power generation using hydrogen blending. Hydrogen properties behaviors and potential hazards created. Safety when working with or around hydrogen
End Use,Power Generation with Hydrogen,Control room operator,Understanding of combined-cycle power generation using hydrogen blending. Hydrogen properties behaviors and potential hazards created. Safety when working with or around hydrogen
End Use,Power Generation with Hydrogen,Electrical & instrumentation engineer,Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen. Knowledge of key instrumentation and electrical equipment and systems associated with ventilation leak detection flame detection corrosion prevention system controls for hydrogen blending
End Use,Power Generation with Hydrogen,Electrical engineer,Knowledge of high power electrical equipment associated with power generation using hydrogen blending. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
End Use,Power Generation with Hydrogen,Facility engineer,Knowledge of hydrogen related regulations standards and codes. Understanding of combined-cycle power generation using hydrogen blending. Appropriate selection of materials coating odorants inhibitors etc. for hydrogen blending.. Maintenance of ventilation leak detection flame detection corrosion prevention equipment and systems for hydrogen blending. Knowledge of equipment and components including compression turbines and combustion etc. for hydrogen blending.. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
End Use,Power Generation with Hydrogen,Maintenance planner,Knowledge of hydrogen related regulations standards and codes. Appropriate selection design and maintenance of including steam and combustion turbines compressors pressure vessels valves steam generators boilers pumps piping systems and other Balance of Plant(BOP) equipment to withstand hydrogen pressure and temperatures. Understanding of combined-cycle power generation using hydrogen blending. Hydrogen properties behavior and potential hazards created. Safety when working with or around hydrogen
End Use,Power Generation with Hydrogen,Maintenance trade -Electrical,Hydrogen properties behaviors and potential hazards created. Appropriate selection and maintenance of key electrical and electronic equipment and systems associated with power generation using hydrogen blending. Safety when working with or around hydrogen
End Use,Power Generation with Hydrogen,Maintenance trade –Instrumentation & controls,Selection calibration and maintenance of key instrumentation equipment and systems associated with power generation using hydrogen blending. Hydrogen properties behaviors and potential hazards created. Safety when working with or around hydrogen
End Use,Power Generation with Hydrogen,Maintenancetrade –Mechanical,Maintenance of vessels compressors turbines piping systems and fitting valves etc.to withstand hydrogen pressure and temperatures. Hydrogen properties behaviors and potential hazards created. Knowledge of appropriate materials seals coatings to use with hydrogen blending. Safety when working with or around hydrogen
