Unique ID,Value Chain,Technology,Core Occupation,Typical Qualifications (min),Key Activities,Unique Requirements for Hydrogen,Potential Talent Risk/Opportunity
2001,Production,Plant Operation,Automation & controls specialist,"Multiple pathways to this career: • Bachelor’s Degree: Automation, Instrumentation & Controls or Electrical Engineering • Certificate of Qualification in Instrument technician • Technology Diploma: Instrumentation or Automation Engineering","• Support automation and controls functions including supervisory control and data acquisition (SCADA), programmable logic controller (PLC), remote terminal unit (RTU), distributed control system (DCS), human-machine interfaces (HMI), communications hardware, protocol and programming languages and related technologies. • Configure systems, troubleshooting and support equipment related to process control including leak detection technology","• Hydrogen properties, behaviour and potential hazards created • Safety when working with or around hydrogen • Knowledge of automated process systems and controls systems associated with electrolyzers","Skills/knowledge and industry transferability opportunity with other industrial process manufacturing including oil & gas, chemicals, petrochemicals, pulp & paper. • Natural gas processing closest match • Relevant codes and standards • Automated process systems and controls systems"
2001,Production,Plant Operation,Chemical/Process engineer,Bachelor’s Degree: Chemical or Process Engineering or Electrochemistry,"• Ensure safe, reliable and efficient operation of the process equipment by applying knowledge of thermodynamics, electrochemistry, fluid mechanics, and materials science • Troubleshoot production and process issues • Oversee plant modifications and upgrades to processes and related equipment ensure comply with regulatory standards • Participate in Root Cause and Failure Analysis","• Hydrogen properties, behaviour and potential hazards created • Safety when working with or around hydrogen • Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers",Experienced talent pool relatively small • Expanded use of electrochemical technology for clean energy is likely to drive increased demand
2001,Production,Plant Operation,Electrical engineer,Bachelor’s Degree: Electrical Engineering Experience with renewable energy is preferable including knowledge of associated codes and standards.,"• Provide expertise and leadership in the equipment specification and selection as it relates to high power rectification, harmonic filtering, high voltage and medium voltage power distribution equipment for industrial processes • Optimise Rectification arrangement for Electrolyser plants required for conversion of alternating current (AC) to direct current (DC) • Provide technical guidance on application of codes, standards and project design criteria • Participate in Root Cause and Failure Analysis (RCFA)","• Hydrogen properties, behaviour and potential hazards created • Safety when working with or around hydrogen • Knowledge of key high power electrical equipment associated with electrolyzer produced hydrogen • Optimise rectification arrangement for electrolyser plants","Skills/knowledge and industry transferability opportunity with other industrial infrastructure including power generation and cogeneration of oil & gas, chemical, petrochemical, pulp & paper, mining & minerals, etc. • Experience with renewable electricity maybe more difficult to find."
2001,Production,Plant Operation,Electrical & instrumentation engineer,Bachelor’s Degree: Electrical & Instrumentation Engineering,"• Design for new or modification of instrumentation, control systems, and electrical projects including Programmable Logic Controllers (PLC) and safety PLCs (SIS), Distributed Control Systems (DCS), fire and gas (F&G) systems • Size and select equipment • Supervise installation and commissioning • Provide technical expertise to resolve issues associated with instrumentation, electrical, and control/safety systems.","• Hydrogen properties, behaviour and potential hazards created • Safety when working with or around hydrogen • Knowledge of key instrumentation and electrical equipment and systems associated with electrolyzer produced hydrogen","Skills/knowledge and industry transferability opportunity with other industrial process manufacturing including oil & gas, chemicals, petrochemicals, pulp & paper. • Natural gas processing closest match"
2001,Production,Plant Operation,Facility engineer,"Bachelor’s Degree: Chemical, Process or Mechanical Engineering","• Provide technical support during routine operations, expansion and optimization, and during planned and unplanned outages. • Assist operations and integrity groups with compliance measures and best practices for process controls such as: MOC, HAZOP, design and repair, reporting and regulatory compliance. • Design and implement large scale facility capital projects","• Hydrogen properties, behaviour and potential hazards created • Safety when working with or around hydrogen • Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers • Appropriate selection, design and maintenance of related production equipment, materials, coatings, etc.","Skills/knowledge and industry transferability opportunity with other industrial process manufacturing including oil & gas, chemicals, petrochemicals, pulp & paper. • Operation and optimization of production facilities • Natural gas processing closest match"
2001,Production,Plant Operation,Measurement specialist,"Multiple pathways to this career: • Bachelor’s Degree: Chemical, Electrical & Instrumentation, Mechanical Engineering • Technology Diploma: Chemical, Electrical, Instrumentation or Mechanical Engineering","• Provide measurement and measurement systems expertise: flow meters, process analysers, flow measurement calculations • Conduct measurement uncertainty analysis and solve issues associated gas measurement including hydrogen, methane, and CO2","• Hydrogen properties, behaviour and potential hazards created • Safety when working with or around hydrogen • Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers • Knowledge of hydrogen gas value-chains","Skills/knowledge and industry transferability opportunity with other industrial process manufacturing including oil & gas, chemicals, petrochemicals, pulp & paper. • Natural gas processing closest match • Modelling experience using process simulators • Data validation and reconciliation"
2001,Production,Plant Operation,Mechanical engineer - Equipment & piping,Bachelor’s Degree: Mechanical Engineering,"• Design pressure and stationary equipment associated with hydrogen production including electrolyzers, vessels, piping and related auxiliary systems • Design rotating equipment associated with hydrogen production including turbines, compressors, pumps and related auxiliary systems • Provide technical expertise on the maintenance and repairs of pressure equipment and systems, and rotating equipment to ensure accordance with all applicable codes and standards • Develop expertise in existing and emerging technologies associated PEM electrolyzer production and related processes and equipment • Participate in Root Cause and Failure Analysis (RCFA)","• Hydrogen properties, behaviour and potential hazards created • Safety when working with or around hydrogen • Appropriate selection, design and maintenance of electrolyzers, vessels, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold) • Appropriate selection, design and maintenance of combustion, compression, pumping and turbine systems and equipment to withstand hydrogen pressure (high/low) and temperatures (hot/cold)","Skills/knowledge and industry transferability opportunity with other industrial process manufacturing including oil & gas, chemicals, petrochemicals, pulp & paper. • Natural gas processing closest match • High pressure gas system • Cryogenic/refrigeration system • Piping and pressure vessels • Flammable gas • Compressors • Regulatory inspection requirements and inspection/test procedures for high pressure process manufacturing including ASME / API Pressure Vessel, NBIC"
2001,Production,Plant Operation,Mechanical engineer - Reliability,Bachelor’s Degree: Mechanical Engineering,"• Lead PEM electrolyzer plant reliability program development and implementation in accordance with all applicable codes and standards • Oversee inspection, maintenance and repair of pressure and stationary equipment associated with hydrogen production including electrolyzers, vessels, piping and related auxiliary systems • Oversee inspection, maintenance and repair of rotating equipment associated with hydrogen production including turbines, compressors, pumps and related auxiliary systems • Develop expertise in existing and emerging technologies associated with the inspection and maintenance • Participate in Root Cause and Failure Analysis (RCFA)","• Hydrogen properties, behaviour and potential hazards created • Safety when working with or around hydrogen • Appropriate selection, design and maintenance of electrolyzers, vessels, compressors, piping systems and fitting, valves and seals to withstand hydrogen pressure (high/low) and temperatures (hot/cold)","Skills/knowledge and industry transferability opportunity with other industrial process manufacturing including oil & gas, chemicals, petrochemicals, pulp & paper. • Natural gas processing closest match • High pressure gas system • Cryogenic/refrigeration system • Piping and pressure vessels • Flammable gas • Compressors • Regulatory inspection requirements and inspection/test procedures for high pressure process manufacturing including ASME / API Pressure Vessel, NBIC"
2001,Production,Plant Operation,Process control engineer,Bachelor’s Degree: Chemical or Electrical & Instrumentation Engineering,"• Building, implementing, and maintaining the advanced control applications used to perform facility operations optimization using a combination of regulatory and model predictive control techniques. • Build and deploy advanced process control applications • Develop and test control applications • Process modelling and simulation using software","• Hydrogen properties, behaviour and potential hazards created • Safety when working with or around hydrogen • Understanding of electrochemical reactions, processes and hydrogen production using PEM electrolyzers • Knowledge of electrolyzer hydrogen production plant control systems and advanced control systems for process optimisation","Skills/knowledge and industry transferability opportunity with other industrial process manufacturing including oil & gas, chemicals, petrochemicals, pulp & paper. • Natural gas processing closest match • Plant control systems and advanced control systems for process optimisation • A strong knowledge of plant and equipment design. • Software to build, test and deploy Advanced Control applications"
2001,Production,Plant Operation,Process safety engineer,"Bachelor’s Degree: Chemical or Process Engineering Significant experience in process equipment, engineering, safety and operational risk management • Process Hazard Analysis techniques (HAZOP, FMEA) • What-If studies, quantitative and semi-quantitative risk assessments (LOPA and FTA/ETA) • Reliability/Survival analysis • Knowledge of OSHA 1910.119, CSA Z767, CSA Z260, ISO 31000, API 1173 and related codes and standards.","• Lead the continual improvement of process safety and risk management processes and methodologies • Analyze and evaluate a wide range of operational risks affecting financial, safety, operational reliability, environmental and reputational receptors • Oversee application of codes, standards, and regulations relevant to process systems and process safety for hydrogen. • Oversee application of acceptable deviations from the approved standards, project specifications and processes • Facilitate the hazard identification and inventory (barrier management) process","• Process engineering and controls skills specific to hydrogen including hazard risk analysis and reviews, mechanical integrity and instrumented system analysis, and operation readiness inspection • Knowledge of hydrogen related regulations, standards and codes • Keep up-to-date with changes to hydrogen technology, regulations, standards and codes","Skills/knowledge and industry transferability opportunity with other industrial process manufacturing including oil & gas, chemicals, petrochemicals, pulp & paper. • Natural gas processing closest match • Specialized role with small talent pool likely to make it difficult to fill positions."
